//M: cambie el 9 de custom a 73 (no guild store)
//Item Trading Restrictions File
//Specify here special rules for item trading.
//Item ID, TradeMask, GM-Level Override
//Trading mask values:
//1:Item can't be drop
//2:Item can't be traded (nor vended)
//4:Wedded partner can override restriction 2.
//8:Item can't be sold to npcs
//16:Item can't be placed in the cart
//32:Item can't be placed in the storage
//64:Item can't be placed in the guild storage
//Example:
//1161,67,50 //Balmung: No drop, No trade, No Guild Store (1+2+64 =67),
//only GMs of GM-level 50 and up can override the setting.



// Wedding Related items
2634,127,100	// Bridegroom_Ring
2635,127,100	// Bride_Ring

7539,115,100	// Poring_Coin

//Wings of Dead
19108,91,60

//Monedas VIP
800,73,50 //oro
801,73,50 //bronce
802,73,50 //plata
7515,73,50  //medalla marvelous hugel

//MVPs--------45
4441,91,100 // Fallen
4142,91,100 // Doppel
4408,91,100 // Gloom
4376,91,100 // Tanee
4365,91,100 // Wizard
4367,91,100 // Sniper
4305,91,100 // Turtle
4302,91,100 // Tao
4361,91,100 // Whitesmith
4263,91,100 // Inca
4403,91,100 // Kiel
4123,91,100 // Eddga
4198,73,100 // Maya Purple
4146,91,100 // Maya
4128,91,100 // Golden
4254,73,100 // Tirfing
4236,91,100 // amon ra
4359,91,100 // assa cross
4425,91,100 // atroce
4372,91,100 // bajsojin
4147,91,100 // baphomet
4145,91,100 // belcebu
4168,91,100 // dark lord
4386,91,100 // detale
4134,91,100 // dracula
4137,91,100 // drake
4330,91,100 // evil snake
4324,91,100 // garm
4363,91,100 // high priest
4430,91,100 // ifrit
4318,91,100 // stormy
4419,91,100 // ktullanux
4357,91,100 // lord knight
4276,91,100 // LOD
4132,91,100 // mystress
4131,91,100 // moonlight
4143,91,100 // orc hero
4135,91,100 // orc lord
4144,91,100 // osiris
4148,91,100 // pharaon
4121,91,100 // phreoni
4342,91,100 // rsx
4407,91,100 // randgris
4374,91,100 // vesper
4352,91,100 // ignicen cenia
4360,91,100 // Thanatos
4169,73,100 // Dark Illusion

4035,9,50 // Hydra
4281,9,50 // Zipper
4426,73,60  //byorgue miniboss
//MvPs Custom Bio
4454,91,60
4455,91,60
4456,91,60
4457,91,60
4458,91,60
4459,91,60
4460,91,60
//Mvps 2014
4451,91,100
4462,91,100 //Naght_Sieger_Card
4463,91,100 //Boitata_Card
4464,91,100 //Fire_Resistance_Card
4465,91,100 //Earth_Resistance_Card
4466,91,100 //Magical_Dodge_Card

//Cartas Custom MVP 2011 Regalo
9101,91,100
9102,91,100
9103,91,100
9104,91,100
9105,91,100
9106,91,100


7291,9,50 //Muscovite
7289,9,50 //Peridot
7294,9,50 //Turquoise
7293,9,50 //Rose Quartz
7296,9,50 //Pyroxene
7297,9,50 //Biotite
7290,9,50 //Phlogopite
7757,9,50 //Mithril
7295,9,50 //Citrin
7108,9,50 //Piece of Shield


19002,9,50 //Notas
19003,9,50
19004,9,50
19005,9,50
19006,9,50
19007,9,50
19008,9,50

//Scrolls
19100,9,50 //Piedras
19130,9,50 //Essences
19131,9,50 //Armor
19132,9,50 //Garmet
19133,9,50 //Shoes
19134,9,50 //Shield
19135,9,50 //Set armas
19136,9,50 //Espadas 1h
19137,9,50 //espadas 2h
19138,9,50 //mazos
19139,9,50 //books
19140,9,50 //staves
19141,9,50 //spears
19142,9,50 //axes
19143,9,50 //dagas
19144,9,50 //katar v2
19145,9,50 //katar v3
19146,9,50 //bows
19147,9,50 //puños
19148,9,50 //instrumentos
19149,9,50 //whips
19150,9,50 //taekwon
19151,9,50 //guns
19152,9,50 //shurikens
